"pm10","pm2.5"
2,6.1
3,3.7
16,8.2
13,11.4
8,9.2
4,4.7
1,4.33555589943275
2,1.3
6,3.6
6,5.1
3,2.9
3,1.5
3,2
1,1.2
2,0.8
3,0.8
6,4.1
8,5.8
11,7
11,9.2
14,6.3
12,7.5
16,7.8
7,5.8
6,2.7
9,2
14,2.9
8,1.8
6,1.83527887975852
8,0.1
8,3.9
8,4.4
8,2.2
9,2.2
10,3.6
12,2.7
9,1.6
13,2.3
10,2.5
6,4.2
4,2.7
6,1.8
6,4.4
10,5.6
10,6.1
10,9.9
8,7.3
18,7.1
7,5.4
9,5.3
6,4.4
3,3.5
2,5.6
5,4.9
8,2.3
8,1.8
15,5.9
7,5.4
9,4.9
7,3.9
4,2.3
4,1.79825185595864
6,0.1
4,1
3,1.8
6,1.1
5,2.75395092854562
3,4.4
2,4.7
4,2.8
6,3.2
9,3
7,2.3
5,3.7
2,3
0,2.3
3,3.5
2,3.2
1,3
5,1.6
5,1.38812097725819
6,0.3
5,1.3
6,1
6,0.990724589248754
8,0.8
8,1.5
5,0.1
8,1.2220080149149
6,2
3,1
8,3.1
5,3.4
1,2.3
1.58854673334581,2.3
1.25891313767169,0.8
0,0.6
4,0.5
3,1
1,2.9
0,1.8
0.394569315596307,1.24692805076415
0,0
2,1.7
2,1.5
2,0.3
2,1.2
5,1.69714521694391
1,2.1224402625555
1.94849373622437,2.5477353081671
1,4.1
7,1.5
3,2.18413503594735
1,2.2
4,2.2
4,1.8
5,2.7
6,0.3
6,1.08043596473584
6,0.3
4,1.5
3,3.9
5,3.7
6,3.2
5,4.9
6,3.5
7,7.8
12,7.1
12,6.4
21,4.9
30,3.5
45,5.9
57,6.3
56,4.4
50,3.7
52,4.4
55,5.1
50,6.1
50,6.6
56,9.2
54,6.8
47,11.6
61,17.7
55,11.7
46,9.2
40,11.3
38,8.5
30,7.1
29,7.3
13,5.6
7,3.6
12,3.4
8,3.7
6,3.4
4,3.7
2,4.4
1,2.7
2,0.8
6,1.3
15,4.3
13,6.3
11,5.9
7,2.7
7,0.5
10,3.4
16,7.2
21,14.7
23,16
29,30.4
13,8.5
13,9.5
11,9.5
14,9
15,15
13,13.4
23,13.1
21,18.5
17,13.4
8,9.3
7,9
12,10.2
7,8.3
14,8.5
16,10.2
8,7.8
11,6.1
13,8.5
27,9
28,14.7
22,13.3
21,16
16,14.4
10,8.6
10,3.5
6,2.7
2,2.3
2,1.1
2,1.5
2,1.5
2,1.50841041116664
0,1.2
4,2
2,1.7
1,2.7
2,0.8
0,1.5
0,2.4
5,1.5
5,0
8,1.3
8,1
6,1.81204235626731
5,2.2
7,3
7,4.9
4,2.1
9,0.8
5,3.1
4,2.3
5,0.1
5,1.5
2,4.4
5,3.7
6,2.5
5,2.5
4,2
3,1.1
2,1.21444576737354
4,0.8
3,0.8
2,1.37107404446409
7,1.7
7,2.2
6,1.3
3,3.9
0,2.8
0,1.8
3,2.9
4,1.6
2,1.1
2,1.8
4,0.1
3,1.35797816847919
3,2.2
3,2.2
2.03940213484485,1
1.29219362848702,1.11500151921733
0,0.942197078414407
1.22749471630408,0.2
2,0.7
2,2.2
3,2.9
8,5.5
7,4.3
12,2.2
12,3.2
11,3.2
17,3.2
13,5.3
18,4.6
17,3.7
17,6.5
19,6.3
14,4.4
15,3.6
12,2.4
9,1.5
4,2.9
0,1.8
1,1.93132182140687
5,1.82857299960327
4,0.3
1,4.8
1,3.2
3,1
4,3.2
2,0.3
0,1.48940580899854
1,1.7
0,1.5
0,2.2
0,4.6
0,2.1
2,0.1
3,1.3
1,1.5
2,2.2
2,3.2
7,3.9
6,4.4
4,4.4
5,4.3
6,8.9
6,7.1
10,8.5
7,6.2
5,3.2
4,2.5
4,3.4
5,5.3
3,3.7
0,3.68185584635989
1,3.4661069542349
4,3.5
5,2.7
2,1.8
4,2.5
5,3.2
4,3
2,2
0,1.5
0,0.6
1,2.31698706347506
7,2.4
11,5.3
8,6.6
5,5.2
2,4.2
5,6.3
4,5.6
4,5.1
4,2.9
1,1.5
6,2.4
6,0.8
4,2.32134406678893
3,3.5
3,3.6
2,1
3,1.7
5,0.3
8,2.6
23,16.8
43,33.7
47,31.4
21,14.4
7,7.9
7,4.4
10,3.9
10,6.8
8,8.2
6,4.9
6,3.7
8,7.3
12,5.9
7,7
9,6.1
9,5.9
5,4.9
3,2.7
3,2.4
4,3.3
7,4.3
5,2.2
10,3.9
20,8.4
18,9.7
17,12.1
18,14.3
24,18.2
14,10.3
25,17.4
27,16.5
23,14.1
23,17
17,16.8
31,18
19,18.5
23,17
19,12.9
15,12.8
14,11.2
10,8
9,5.2
14,2.5
11,2.7
9,2.2
12,1.3
17,2
20,4.1
23,7.7
14,7.1
29,15.7
21,9.4
19,9.7
15,9.4
14,6.1
11,5.4
10,5.3
18,4.6
17,3.9
29,10.3
31,9.9
27,8.3
15,5.1
25,5.6
14,2.8
16,1.8
5,1.3
3,2.87592109467429
1,3.56085761673959
9,4.24579413880488
16,3.4
35,8.2
27,9.9
18,7.3
25,10.4
18,10.4
17,7.8
8,4.1
6,0.6
18,8.1
13,8.5
16,6.6
15,4.1
21,6
19,5.6
14,4.2
12,4.6
12,6
11,3.9
11,1.5
8,4.1
21,7.2
38,11.8
16,8.8
12,8
9,8.9
5,5.6
3,2.3
3,1.7
3,2
1,0.8
3,1.7
6,5.5
7,6
6,3.9
2,2.3
3,3.4
1,5.1
3,4.2
3,3.7
3,2.5
5,2.3
4,1.8
4,1.3
1,1.2
5,0.1
4,1.5
9,5.5
14,5.8
10,4.2
9,6.3
10,6.6
10,5.4
8,3.7
4,0.4
8,2.96021767438452
9,4.8
6,3
3,2.48266011417302
1,1.93139985706866
0,1.38013959996431
0,0
0,1.2
3,2.2
3,0.4
2.10195545026097,0.899710364800483
0,0.898050248323899
6,1
6,0.6
6,0.1
4,1.8
1,3.4
4,2.3
5,2.5
4,5.8
4,4.4
4,2.5
4,2.7
3,3.2
2,3.2
4,2.5
4,1.8
5,0.6
3,3.6
1,4.2
3,2.3
3,1
3,1.5
4,3.4
6,4.4
6,1.4
4,2.00216604928578
2,1.5
5,1.7
7,2.4
5,3.6
8,2.5
15,2
14,7
13,6.8
12,4.6
10,4.1
11,5.1
11,4.8
11,3.4
6,1.8
3,2.39311872837488
4,2.26717784703826
4,1.9
2,2.4
2,2.6
2,1.7
3,1.74613893502923
5,1
2,2.9
0,1.3
0,1.3
0.496337657257021,2.2
0.777128113246672,2.2
1,1.8
2,2.7
0,2.4
1,0.3
3,0.2
2,0.755270723750684
2,0.897617349130504
5,1.03996397451032
6,0.7
4,1.9
4,3.6
4,1.8
2,0.3
4,1.4
7,1
5,0
3,0.702661855794884
2,0.888275302713072
1,1.07388874963126
0,1.4
0,1.7
2,0.3
4,1.15705309648901
4,1.40814031036776
3,1.6592275242465
4,1.91031473812525
9,1.7
6,3.4
1,3.7
7,2.5
8,2.7
5,1.5
1,1.7
1,3.6
4,3.9
3,4.8
0,2.8
3,2
11,2.5
8,3.2
25,5.1
9,5.1
6,1.8
6,2.26422391571947
4,1.85441732158867
2,1.44461072745787
3,0.5
4,1.2
4,1.2
8,1.2
9,2.6
5,3.2
7,2.1
11,4.1
9,7
8,6.8
6,6.1
6,5.9
8,5.1
8,6.3
10,7
15,6.3
22,10.5
24,9
20,9.7
11,6.1
9,3.5
5,1.3
5,1.2
3,1
3,0.7
6,3.5
7,3.4
8,2
12,1.7
30,4.3
21,11.5
11,8.3
18,7
17,10.1
17,9.4
13,8.5
10,8
11,4
12,2.5
16,6.9
23,10.3
31,13.7
14,10.5
15,8.3
