"","co1","so2","ozone","temp","rh"
"1",0.24,0.1,0.01,35,64
"2",0.244,0,0.008,34,75
"3",0.236,0,0.009,34,74
"4",0.217,0,0.009,34,76
"5",0.198,0,0.01,34,78
"6",0.198,0,0.009,34,81
"7",0.195,0,0.008,34,84
"8",0.211,0,0.006,34,87
"9",0.201,0,0.007,34,89
"10",0.186,0,0.008,34,89
"11",0.209,0,0.008,34,90
"12",0.213,0,0.007,35,90
"13",0.238,0,0.008,36,90
"14",0.235,0,0.01,36,89
"15",0.243,0,0.008,36,91
"16",0.27,0,0.007,37,92
"17",0.292,0,0.004,37,92
"18",0.293,0,0.004,37,92
"19",0.28,0,0.003,37,91
"20",0.274,0,0.003,37,90
"21",0.294,0,0.002,37,91
"22",0.272,0,0.003,37,91
"23",0.268,0,0.003,37,92
"24",0.273,0,0.003,37,92
"25",0.241,0,0.005,38,91
"26",0.225,0,0.006,38,90
"27",0.223,0,0.005,39,90
"28",0.201,0,0.006,38,92
"29",0.198,0,0.007,38,91
"30",0.209,0,0.006,39,91
"31",0.215,0,0.006,39,91
"32",0.233,0,0.005,39,91
"33",0.239,0,0.005,39,91
"34",0.251,0,0.007,39,93
"35",0.243,0,0.008,40,92
"36",0.242,0,0.008,40,91
"37",0.259,0.1,0.008,40,91
"38",0.274,0.1,0.007,41,90
"39",0.26,0,0.009,41,88
"40",0.27,0,0.007,41,89
"41",0.313,0,0.005,41,92
"42",0.311,0,0.005,41,92
"43",0.3,0,0.004,41,92
"44",0.306,0,0.003,41,92
"45",0.286,0,0.004,41,92
"46",0.312,0,0.003,42,93
"47",0.249,0,0.004,41,93
"48",0.214,0,0.007,41,93
"49",0.229,0,0.006,41,93
"50",0.218,0,0.005,41,93
"51",0.211,0,0.006,41,93
"52",0.221,0,0.005,42,92
"53",0.229,0,0.003,41,92
"54",0.205,0,0.005,41,92
"55",0.202,0,0.002,41,90
"56",0.194,0,0.003,40,88
"57",0.201,0.1,0.004,40,86
"58",0.194,0,0.007,41,84
"59",0.174,0,0.013,41,81
"60",0.18,0,0.014,42,78
"61",0.171,0.1,0.018,44,72
"62",0.195,0.1,0.019,46,68
"63",0.183,0.1,0.022,49,63
"64",0.176,0.1,0.024,52,59
"65",0.185,0.1,0.024,54,56
"66",0.239,0.1,0.017,53,60
"67",0.386,0.1,0.005,51,64
"68",0.425,0.1,0.002,49,70
"69",0.405,0.1,0.001,48,74
"70",0.494,0.3,0.001,48,68
"71",0.451,0,0.002,48,62
"72",0.272,0,0.018,46,65
"73",0.176,0,0.022,45,68
"74",0.149,0,0.022,43,68
"75",0.151,0,0.018,42,72
"76",0.157,0,0.016,41,74
"77",0.132,0,0.021,41,74
"78",0.124,0,0.02,38,74
"79",0.121,-0.1,0.023,32,67
"80",0.122,-0.1,0.023,29,66
